Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking
2014,109785,Azusa Pacific University,1,Azusa (main campus),9972,1,0,1
2014,110097,Biola University,1,Main Campus,6358,0,0,0
2014,110361,California Baptist University,1,Main Campus,7957,0,2,0
2014,110404,California Institute of Technology,1,Main Campus,2209,0,0,1
2014,110413,California Lutheran University,1,Main Campus,4160,0,3,0
2014,111948,Chapman University,1,Orange Campus,8132,0,0,0
2014,112251,Claremont Graduate University,1,Main Campus,2160,0,0,0
2014,112075,Concordia University-Irvine,1,Main Campus,4311,0,5,3
2014,114813,Fresno Pacific University,1,FRESNO PACIFIC UNIVERSITY,3458,0,0,0
2014,114840,Fuller Theological Seminary in California,1,Fuller Pasadena,2550,0,0,0
2014,117627,La Sierra University,1,La Sierra University,2510,0,0,0
2014,117636,Loma Linda University,1,Loma Linda University,4600,0,0,0
2014,117946,Loyola Marymount University,1,Westchester Campus,9515,2,0,1
2014,119173,Mount Saint Mary's University,1,Chalon,3292,0,0,0
2014,120254,Occidental College,1,Occidental College,2040,0,0,0
2014,121150,Pepperdine University,1,Malibu - Main Campus,7417,0,0,0
2014,121309,Point Loma Nazarene University,1,Point Loma Nazerene University Main Campus,3374,0,0,0
2014,123554,Saint Mary's College of California,1,Main Campus,4112,0,0,2
2014,122931,Santa Clara University,1,Main Campus - Santa Clara University,9015,0,1,0
2014,243744,Stanford University,1,Main Campus,16963,9,0,6
2014,117140,University of La Verne,1,MAIN CAMPUS,8517,0,3,0
2014,121691,University of Redlands,1,Main Campus,5333,1,1,4
2014,122436,University of San Diego,1,UNIVERSITY OF SAN DIEGO,8349,0,0,2
2014,122612,University of San Francisco,1,Hilltop Campus (San Francisco),10689,0,0,0
2014,123961,University of Southern California,1,University Park Campus,42453,0,0,1
2014,120883,University of the Pacific,1,Main Campus,6304,0,1,0
2014,123651,Vanguard University of Southern California,1,Vanguard University of Southern California,2255,0,0,0
2014,125763,Whittier College,1,Main Campus,2259,0,0,0
2015,109785,Azusa Pacific University,1,Azusa (main campus),9975,2,5,2
2015,110097,Biola University,1,Main Campus,6227,0,0,2
2015,110361,California Baptist University,1,Main Campus,8541,0,1,2
2015,110404,California Institute of Technology,1,Main Campus,2255,0,0,0
2015,110413,California Lutheran University,1,Main Campus,4126,0,1,1
2015,111948,Chapman University,1,Orange Campus,8305,1,1,0
2015,112251,Claremont Graduate University,1,Main Campus,2136,0,0,2
2015,112075,Concordia University-Irvine,1,Main Campus,4505,0,2,1
2015,114813,Fresno Pacific University,1,FRESNO PACIFIC UNIVERSITY,3342,0,0,3
2015,114840,Fuller Theological Seminary in California,1,Fuller Pasadena,2532,0,0,1
2015,117627,La Sierra University,1,La Sierra University,2476,0,0,0
2015,117636,Loma Linda University,1,Loma Linda University,4490,0,0,2
2015,117946,Loyola Marymount University,1,Westchester Campus,9392,2,0,0
2015,119173,Mount Saint Mary's University,1,Chalon,3431,0,0,0
2015,120254,Occidental College,1,Occidental College,2023,0,4,4
2015,121150,Pepperdine University,1,Malibu - Main Campus,7632,0,1,0
2015,121309,Point Loma Nazarene University,1,Point Loma Nazerene University Main Campus,3663,0,0,3
2015,123554,Saint Mary's College of California,1,Main Campus,4030,0,3,1
2015,122931,Santa Clara University,1,Main Campus - Santa Clara University,8680,0,2,0
2015,243744,Stanford University,1,Main Campus,16980,9,0,6
2015,117140,University of La Verne,1,MAIN CAMPUS,8334,1,1,1
2015,121691,University of Redlands,1,Main Campus,5215,0,2,0
2015,122436,University of San Diego,1,UNIVERSITY OF SAN DIEGO,8251,0,2,2
2015,122612,University of San Francisco,1,Hilltop Campus (San Francisco),10797,0,1,1
2015,123961,University of Southern California,1,University Park Campus,43401,0,0,2
2015,120883,University of the Pacific,1,Main Campus,6281,0,2,0
2015,123651,Vanguard University of Southern California,1,Vanguard University of Southern California,2184,0,0,0
2015,125763,Whittier College,1,Main Campus,2187,1,0,0
