Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking
2014,110635,University of California-Berkeley,1,Main Campus,37565,1,2,7
2014,110635,University of California-Berkeley,3,University of California Washington Academic Cente,37565,0,0,0
2014,110644,University of California-Davis,1,Main Campus,34508,4,5,6
2014,110398,University of California-Hastings College of Law,1,Main Campus,1003,0,0,0
2014,110653,University of California-Irvine,1,UCI Main Campus,30051,8,6,1
2014,110662,University of California-Los Angeles,1,UCLA,41845,0,0,0
2014,445188,University of California-Merced,1,Main Campus,6268,1,0,1
2014,110671,University of California-Riverside,1,Main Campus,21498,10,3,5
2014,110680,University of California-San Diego,1,Main Campus,30709,2,8,1
2014,110699,University of California-San Francisco,1,Main Campus - Parnassus,3170,0,0,0
2014,110699,University of California-San Francisco,2,Mission Bay,3170,0,0,0
2014,110705,University of California-Santa Barbara,1,Main Campus,23051,4,4,3
2014,110714,University of California-Santa Cruz,1,Main Campus,17866,4,1,1
2015,110635,University of California-Berkeley,1,Main Campus,38189,1,5,6
2015,110635,University of California-Berkeley,3,University of California Washington Academic Cente,38189,0,0,0
2015,110644,University of California-Davis,1,Main Campus,35186,7,3,6
2015,110398,University of California-Hastings College of Law,1,Main Campus,950,0,1,0
2015,110653,University of California-Irvine,1,UCI Main Campus,30836,14,6,4
2015,110662,University of California-Los Angeles,1,UCLA,41908,1,0,1
2015,445188,University of California-Merced,1,Main Campus,6685,1,1,0
2015,110671,University of California-Riverside,1,Main Campus,21385,5,3,7
2015,110680,University of California-San Diego,1,Main Campus,32906,5,4,3
2015,110699,University of California-San Francisco,1,Main Campus - Parnassus,3107,4,0,0
2015,110699,University of California-San Francisco,2,Mission Bay,3107,0,0,0
2015,110705,University of California-Santa Barbara,1,Main Campus,23497,3,1,1
2015,110714,University of California-Santa Cruz,1,Main Campus,17868,5,1,3
