Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking
2014,110635,University of California-Berkeley,1,Main Campus,37565,1,6,22
2014,110644,University of California-Davis,1,Main Campus,34508,9,6,11
2014,110398,University of California-Hastings College of Law,1,Main Campus,1003,0,0,0
2014,110653,University of California-Irvine,1,UCI Main Campus,30051,10,9,10
2014,110662,University of California-Los Angeles,1,UCLA,41845,2,0,1
2014,445188,University of California-Merced,1,Main Campus,6268,1,0,4
2014,110671,University of California-Riverside,1,Main Campus,21498,16,3,8
2014,110680,University of California-San Diego,1,Main Campus,30709,3,9,1
2014,110699,University of California-San Francisco,1,Main Campus - Parnassus,3170,4,1,4
2014,110705,University of California-Santa Barbara,1,Main Campus,23051,4,5,4
2014,110714,University of California-Santa Cruz,1,Main Campus,17866,5,5,7
2015,110635,University of California-Berkeley,1,Main Campus,38189,5,8,10
2015,110644,University of California-Davis,1,Main Campus,35186,9,5,20
2015,110398,University of California-Hastings College of Law,1,Main Campus,950,0,1,0
2015,110653,University of California-Irvine,1,UCI Main Campus,30836,21,9,18
2015,110662,University of California-Los Angeles,1,UCLA,41908,1,1,1
2015,445188,University of California-Merced,1,Main Campus,6685,2,1,0
2015,110671,University of California-Riverside,1,Main Campus,21385,6,4,10
2015,110680,University of California-San Diego,1,Main Campus,32906,10,7,5
2015,110699,University of California-San Francisco,1,Main Campus - Parnassus,3107,5,2,0
2015,110705,University of California-Santa Barbara,1,Main Campus,23497,3,5,5
2015,110714,University of California-Santa Cruz,1,Main Campus,17868,5,7,5
